N,M,truncated,n_nonzero,n_above_001,min_above_001,max_eigenvalue,participation_ratio,EIG0.900,EIG0.950,EIG0.980,EIG0.990,EIG0.999
5000,50000,False,4999,4917,0.010015183136777985,733.8096968941982,234.9192274055444,655,1007,1552,2012,3578
10000,50000,False,9999,6363,0.010005324386378599,711.5628457033312,240.69126510936505,705,1102,1747,2324,4665
20000,50000,False,17153,7048,0.010002597719857185,705.6761982765056,243.85567150690224,733,1156,1859,2504,5295
50000,50000,False,17843,7434,0.010006112663411245,704.8805305756266,245.40120368734105,750,1189,1928,2614,5670
100000,50000,False,18303,7557,0.010001300632278758,703.1676812740445,246.01638977736985,756,1200,1952,2652,5792
