N,M,truncated,n_nonzero,n_above_001,min_above_001,max_eigenvalue,participation_ratio,EIG0.900,EIG0.950,EIG0.980,EIG0.990,EIG0.999
5000,20000,False,4999,2682,0.010021080189200117,588.2134334302809,101.69294918105292,295,475,766,1022,2001
10000,20000,False,5380,2899,0.010002454590589233,588.8154404687497,102.72075325947422,305,496,809,1087,2193
20000,20000,False,5624,2996,0.01002321326548108,583.2379739991627,103.30704854304363,311,507,831,1121,2283
50000,20000,False,5881,3051,0.010008774504377038,581.5152245229983,103.61719795536118,314,513,845,1141,2336
100000,20000,False,6046,3071,0.01002374059637672,581.764563283548,103.71132809125773,315,515,849,1148,2354
