N,M,M_loco,M_chr1,h2,h2_loco,cbar_full,cbar_loco,loco_upper_bound
5000,50000,46836,3164,0.1,0.093672,0.518537,1.049723,1.103353
5000,50000,46836,3164,0.3,0.281016,0.375351,1.245186,1.390852
5000,50000,46836,3164,0.5,0.46836,0.33711,1.589737,1.880972
10000,50000,46836,3164,0.1,0.093672,0.403884,1.061963,1.103353
10000,50000,46836,3164,0.3,0.281016,0.273241,1.285519,1.390852
10000,50000,46836,3164,0.5,0.46836,0.237372,1.67688,1.880972
20000,50000,46836,3164,0.1,0.093672,0.301155,1.072314,1.103353
20000,50000,46836,3164,0.3,0.281016,0.190595,1.316656,1.390852
20000,50000,46836,3164,0.5,0.46836,0.160456,1.741478,1.880972
50000,50000,46836,3164,0.1,0.093672,0.191474,1.083811,1.103353
50000,50000,46836,3164,0.3,0.281016,0.111948,1.347719,1.390852
50000,50000,46836,3164,0.5,0.46836,0.0909,1.802652,1.880972
100000,50000,46836,3164,0.1,0.093672,0.130268,1.09,1.103353
100000,50000,46836,3164,0.3,0.281016,0.072428,1.362881,1.390852
100000,50000,46836,3164,0.5,0.46836,0.057458,1.831407,1.880972
