N,M,M_loco,M_chr1,h2,h2_loco,cbar_full,cbar_loco,loco_upper_bound
5000,100000,93672,6328,0.1,0.093672,0.675396,1.033295,1.103353
5000,100000,93672,6328,0.3,0.281016,0.518266,1.188947,1.390852
5000,100000,93672,6328,0.5,0.46836,0.473119,1.470372,1.880972
10000,100000,93672,6328,0.1,0.093672,0.551996,1.046474,1.103353
10000,100000,93672,6328,0.3,0.281016,0.392243,1.238649,1.390852
10000,100000,93672,6328,0.5,0.46836,0.346356,1.580929,1.880972
20000,100000,93672,6328,0.1,0.093672,0.42773,1.059325,1.103353
20000,100000,93672,6328,0.3,0.281016,0.281793,1.281582,1.390852
20000,100000,93672,6328,0.5,0.46836,0.240799,1.672412,1.880972
50000,100000,93672,6328,0.1,0.093672,0.282417,1.074037,1.103353
50000,100000,93672,6328,0.3,0.281016,0.170286,1.324386,1.390852
50000,100000,93672,6328,0.5,0.46836,0.140113,1.759022,1.880972
