Ne,N,h2,beta2,replicate,empirical_ncp
100,50000,0.1,0.001,66,25.054888810653814
100,50000,0.1,0.001,67,13.67794350398718
100,50000,0.1,0.001,68,16.567332260740233
100,50000,0.1,0.001,69,18.758819669112604
100,50000,0.1,0.001,70,14.011886833499329
100,50000,0.1,0.001,71,21.03008670840212
100,50000,0.1,0.001,72,17.442340317222126
100,50000,0.1,0.001,73,20.5964519913652
100,50000,0.1,0.001,74,25.349171298146352
100,50000,0.1,0.001,75,16.63354315072109
100,50000,0.1,0.001,76,20.14667750954762
100,50000,0.1,0.001,77,17.39871002632333
100,50000,0.1,0.001,78,19.805558420802946
100,50000,0.1,0.001,79,15.989436460502922
100,50000,0.1,0.001,80,16.30398600849037
100,50000,0.1,0.001,81,14.894621826557067
100,50000,0.1,0.001,82,25.29934193970261
100,50000,0.1,0.001,83,16.42135193049055
100,50000,0.1,0.001,84,13.944278693979646
100,50000,0.1,0.001,85,19.25971393742006
100,50000,0.1,0.001,86,16.881532395377796
100,50000,0.1,0.001,87,23.732142869808623
100,50000,0.1,0.001,88,17.07920982369228
100,50000,0.1,0.001,89,18.982109530963363
100,50000,0.1,0.001,90,10.173066658151406
100,50000,0.1,0.001,91,20.92840164252063
100,50000,0.1,0.001,92,9.902519693799489
100,50000,0.1,0.001,93,20.333136762929882
100,50000,0.1,0.001,94,15.361873476263394
100,50000,0.1,0.001,95,8.95383283984756
100,50000,0.1,0.001,96,16.06419505277625
100,50000,0.1,0.001,97,15.620414028390012
100,50000,0.1,0.001,98,15.919052746753227
100,50000,0.1,0.001,99,20.075772200253844
100,50000,0.1,0.001,100,21.76629199007757
100,10000,0.1,0.01,1,79.82781432388597
100,10000,0.1,0.01,2,80.25635154933681
100,10000,0.1,0.01,3,71.75668672400936
100,10000,0.1,0.01,4,76.26106320283415
100,10000,0.1,0.01,5,72.64032973215517
100,10000,0.1,0.01,6,82.68746751161562
100,10000,0.1,0.01,7,95.59160411682532
100,10000,0.1,0.01,8,76.69475881205827
100,10000,0.1,0.01,9,95.90637247157852
100,10000,0.1,0.01,10,84.30672097152701
100,10000,0.1,0.01,11,81.45519413928403
100,10000,0.1,0.01,12,83.05192914406045
100,10000,0.1,0.01,13,80.94176741339213
100,10000,0.1,0.01,14,73.79336377912554
100,10000,0.1,0.01,15,90.20092173766692
100,10000,0.1,0.01,16,65.97906898903052
100,10000,0.1,0.01,17,82.95907961491625
100,10000,0.1,0.01,18,87.37054011139135
100,10000,0.1,0.01,19,80.33173047884581
100,10000,0.1,0.01,20,80.02728598408251
100,10000,0.1,0.01,21,73.87629285567408
100,10000,0.1,0.01,22,92.84242661455775
100,10000,0.1,0.01,23,73.6439579758549
100,10000,0.1,0.01,24,91.7366991273022
100,10000,0.1,0.01,25,74.70124340812046
100,10000,0.1,0.01,26,76.71774399937904
100,10000,0.1,0.01,27,78.88702895187191
100,10000,0.1,0.01,28,86.324673441275
100,10000,0.1,0.01,29,80.40553568535505
100,10000,0.1,0.01,30,78.80982337107116
100,10000,0.1,0.01,31,74.46106650768893
